Dataset,class_id,class_name,GT,Predictions,TP,FP,FN,sum_IoU_TP,IoU,Precision,Recall,mAP50,mAP50-95
val,0,bacterial_spot_leaf,46,43,43,0,3,40.76577223314929,0.9480412147244022,1.0,0.9347826086956522,0.9468280161349468,0.8718103524262464
val,1,early_blight_leaf,52,54,48,6,4,44.82523634512272,0.93385909052339,0.8888888888888888,0.9230769230769231,0.9374771117262706,0.8413925983657242
val,2,healthy_leaf,54,54,54,0,0,52.264925209636694,0.9678689853636425,1.0,1.0,1.0,0.9797647186776086
val,3,late_blight_leaf,39,34,33,1,6,31.83055704936467,0.9645623348292325,0.9705882352941176,0.8461538461538461,0.8857829092072028,0.8529518494247993
val,4,mosaic_virus,49,44,42,2,7,40.62798602659444,0.967333000633201,0.9545454545454546,0.8571428571428571,0.8812659727511212,0.8442659437647062
val,5,septoria_leaf_spot,29,28,28,0,1,27.041093712292607,0.9657533468675931,1.0,0.9655172413793104,0.9974449057809007,0.9759920601567798
val,6,bacterial_spot_fruit,32,30,30,0,2,29.211645965095098,0.9737215321698366,1.0,0.9375,1.0,0.9634983498349834
val,7,blossom_end_rot,29,29,29,0,0,28.41669570926322,0.979886058940111,1.0,1.0,1.0,1.0
val,8,catface,29,29,29,0,0,28.43454162602407,0.9805014353801403,1.0,1.0,1.0,1.0
val,9,healthy_fruit,38,38,38,0,0,36.83208809674891,0.9692654762302345,1.0,1.0,1.0,0.9692575929890287
val,10,serangan_hama,29,29,29,0,0,27.83559730519619,0.9598481829377996,1.0,1.0,1.0,0.9723833097595473
test,0,bacterial_spot_leaf,39,30,30,0,9,28.88833888489594,0.9629446294965314,1.0,0.7692307692307693,0.8263790664780765,0.7650709026946652
test,1,early_blight_leaf,49,50,46,4,3,43.74810265657208,0.95104570992548,0.92,0.9387755102040817,0.9246783862059677,0.8709964592144017
test,2,healthy_leaf,46,43,42,1,4,39.911910559231394,0.9502835847436046,0.9767441860465116,0.9130434782608695,0.9468158592207563,0.8854737075780879
test,3,late_blight_leaf,41,39,37,2,4,35.945383168038695,0.9714968423794242,0.9487179487179487,0.9024390243902439,0.9411054691760484,0.9335350762738452
test,4,mosaic_virus,56,55,54,1,2,51.66421192844626,0.9567446653415973,0.9818181818181818,0.9642857142857143,0.9682790859731134,0.9271983063345193
test,5,septoria_leaf_spot,32,33,31,2,1,29.848564273339946,0.9628569120432241,0.9393939393939394,0.96875,0.9576376992537963,0.9456100560000383
test,6,bacterial_spot_fruit,32,32,31,1,1,30.143906234838504,0.9723840720915646,0.96875,0.96875,0.9955995599559955,0.9861368394904007
test,7,blossom_end_rot,30,30,30,0,0,29.389108660939492,0.9796369553646497,1.0,1.0,1.0,0.996039603960396
test,8,catface,30,30,30,0,0,29.38305318497452,0.9794351061658174,1.0,1.0,1.0,0.996039603960396
test,9,healthy_fruit,38,39,38,1,0,36.7127511085297,0.9661250291718343,0.9743589743589743,1.0,1.0,0.9712737960146229
test,10,serangan_hama,30,28,28,0,2,26.901229837132682,0.9607582084690244,1.0,0.9333333333333333,0.9603960396039604,0.922652071652988
